#SampleID	BarcodeSequence	LinkerPrimerSequence	Description
4.141624			4
5.141611			5
6.141591			6
10.141584			10
14.141626			14
16.141621			16
23.141623			23
27.141607			27
31.141636			31
33.141601			33
48.141603			48
57.141617			57
58.141599			58
63.141595			63
64.141597			64
70.141637			70
77.141630			77
84.141589			84
92.141604			92
98.141606			98
100.141640			100
118.141596			118
128.141644			128
133.141587			133
134.141598			134
139.141594			139
141.141608			141
146.141614			146
161.141600			161
168.141602			168
172.141646			172
173.141616			173
195.141632			195
206.141588			206
240.141627			240
252.141619			252
265.141629			265
273.141590			273
280.141645			280
294.141620			294
297.141642			297
371.141628			371
413.141610			413
432.141625			432
441.141592			441
454.141609			454
468.141593			468
469.141615			469
539.141634			539
623.141631			623
745.141639			745
831.141643			831
835.141605			835
838.141613			838
Mother.141622			Mother
